Subject number	Trial number	Number of pumps	Balloon explosion T/F	Money of the trial	Total money
1	0	3	True	0	0
1	1	13	True	0	0
1	2	1	True	0	0
1	3	18	False	4.5	4.5
1	4	0	False	0	4.5
1	5	0	False	0	4.5
1	6	0	False	0	4.5
1	7	0	False	0	4.5
1	8	0	False	0	4.5
1	9	10	False	2.5	7.0
1	10	6	False	1.5	8.5
1	11	3	True	0	8.5
1	12	1	True	0	8.5
1	13	14	False	3.5	12.0
1	14	0	False	0	12.0
1	15	0	False	0	12.0
1	16	0	False	0	12.0
1	17	0	False	0	12.0
1	18	0	False	0	12.0
1	19	0	False	0	12.0
1	20	0	False	0	12.0
1	21	0	False	0	12.0
1	22	0	False	0	12.0
1	23	0	False	0	12.0
1	24	2	True	0	12.0
1	25	4	False	1.0	13.0
1	26	10	False	2.5	15.5
1	27	6	False	1.5	17.0
1	28	2	True	0	17.0
1	29	16	True	0	17.0
1	30	4	True	1.0	18.0
1	31	0	True	0	18.0
1	32	0	False	0	18.0
1	33	0	False	0	18.0
1	34	0	False	0	18.0
1	35	0	False	0	18.0
1	36	0	False	0	18.0
1	37	0	False	0	18.0
1	38	0	False	0	18.0
1	39	0	False	0	18.0
1	40	0	False	0	18.0
1	41	0	False	0	18.0
1	42	4	True	0	18.0
1	43	7	False	1.75	19.75
1	44	1	True	0	19.75
1	45	4	False	1.0	20.75
1	46	5	False	1.25	22.0
1	47	3	True	0	22.0
1	48	5	False	1.25	23.25
1	49	5	False	1.25	24.5
1	50	3	True	0	24.5
1	51	6	False	1.5	26.0
1	52	7	False	1.75	27.75
1	53	3	True	0	27.75
1	54	12	False	3.0	30.75
1	55	2	True	0	30.75
1	56	11	False	2.75	33.5
1	57	1	True	0	33.5
1	58	10	False	2.5	36.0
1	59	4	False	1.0	37.0
1	60	0	False	0	37.0
1	61	0	True	0	37.0
1	62	0	False	0	37.0
1	63	0	False	0	37.0
1	64	0	False	0	37.0
1	65	0	False	0	37.0
1	66	0	False	0	37.0
1	67	0	False	0	37.0
1	68	0	False	0	37.0
1	69	0	False	0	37.0
1	70	5	False	1.25	38.25
1	71	1	True	0	38.25
1	72	4	False	1.0	39.25
1	73	5	False	1.25	40.5
1	74	2	True	0	40.5
1	75	7	False	1.75	42.25
1	76	5	True	1.25	43.5
1	77	6	False	1.5	45.0
1	78	18	False	4.5	49.5
1	79	1	True	0	49.5
1	80	0	False	0	49.5
1	81	0	False	0	49.5
1	82	0	False	0	49.5
1	83	0	False	0	49.5
1	84	0	False	0	49.5
1	85	0	False	0	49.5
1	86	0	False	0	49.5
1	87	0	False	0	49.5
1	88	0	False	0	49.5
1	89	0	False	0	49.5
